Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Authors with affiliations,Index Keywords,Document Type,Source
"Su Y., Ge J.-J., Wang Y.-C., Wang L.-R., Wang Y., Zheng Z.-X., Shao X.-P.","57198681283;55748780400;57217874045;58171976300;57207976629;58171586800;57678091900;","Research progress on high-resolution imaging system for optical remote sensing in aerospace [航天高分辨率对地光学遥感载荷研究进展]",2023,"Chinese Optics",,"10.37188/CO.2022-0085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151634270&doi=10.37188%2fCO.2022-0085&partnerID=40&md5=394624ba5a37f791dd36e50bae1f1987","School of Optoelectronic Engineering, Xidian University, Xi'an, 710071, China; Xi'an Key Laboratory of Computational Imaging, Xi'an, 710071, China; Beijing Institute of Space Mechanics & Electricity, Beijing, 100094, China; Beijing Key Laboratory of Advanced Optical Remote Sensing Technology, Beijing, 100094, China; Core Professional Laboratory of Spatial Laser Information Perception Technology, Beijing, 100094, China","Su, Y., School of Optoelectronic Engineering, Xidian University, Xi'an, 710071, China, Xi'an Key Laboratory of Computational Imaging, Xi'an, 710071, China, Beijing Institute of Space Mechanics & Electricity, Beijing, 100094, China, Beijing Key Laboratory of Advanced Optical Remote Sensing Technology, Beijing, 100094, China, Core Professional Laboratory of Spatial Laser Information Perception Technology, Beijing, 100094, China; Ge, J.-J., Beijing Institute of Space Mechanics & Electricity, Beijing, 100094, China, Beijing Key Laboratory of Advanced Optical Remote Sensing Technology, Beijing, 100094, China, Core Professional Laboratory of Spatial Laser Information Perception Technology, Beijing, 100094, China; Wang, Y.-C., Beijing Institute of Space Mechanics & Electricity, Beijing, 100094, China, Beijing Key Laboratory of Advanced Optical Remote Sensing Technology, Beijing, 100094, China, Core Professional Laboratory of Spatial Laser Information Perception Technology, Beijing, 100094, China; Wang, L.-R., Beijing Institute of Space Mechanics & Electricity, Beijing, 100094, China, Beijing Key Laboratory of Advanced Optical Remote Sensing Technology, Beijing, 100094, China, Core Professional Laboratory of Spatial Laser Information Perception Technology, Beijing, 100094, China; Wang, Y., Beijing Institute of Space Mechanics & Electricity, Beijing, 100094, China, Beijing Key Laboratory of Advanced Optical Remote Sensing Technology, Beijing, 100094, China, Core Professional Laboratory of Spatial Laser Information Perception Technology, Beijing, 100094, China; Zheng, Z.-X., Beijing Institute of Space Mechanics & Electricity, Beijing, 100094, China, Beijing Key Laboratory of Advanced Optical Remote Sensing Technology, Beijing, 100094, China, Core Professional Laboratory of Spatial Laser Information Perception Technology, Beijing, 100094, China; Shao, X.-P., School of Optoelectronic Engineering, Xidian University, Xi'an, 710071, China, Xi'an Key Laboratory of Computational Imaging, Xi'an, 710071, China","Image resolution; Synthetic apertures; Continuous development; Cross-scale; Growing demand; High resolution; High-resolution imaging; Optical imaging technology; Optical remote sensing; Optical technology; Remote sensing applications; Remote-sensing; Optical remote sensing",Review,Scopus
"Wei R., Song A., Duan H., Pei H.","58169978200;57449519900;35182860000;36070023300;","An Effective Procedure to Build Space Object Datasets Based on STK",2023,"Aerospace",,"10.3390/aerospace10030258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151540688&doi=10.3390%2faerospace10030258&partnerID=40&md5=e0b3677f703ef835a9986ef229bbdef5","Key Laboratory of Infrared System Detection and Imaging Technologies, Shanghai Institute of Technical Physics, Chinese Academy of Sciences, Shanghai, 200083, China; School of Information Science and Technology, ShanghaiTech University, Shanghai, 201210, China","Wei, R., Key Laboratory of Infrared System Detection and Imaging Technologies, Shanghai Institute of Technical Physics, Chinese Academy of Sciences, Shanghai, 200083, China; Song, A., Key Laboratory of Infrared System Detection and Imaging Technologies, Shanghai Institute of Technical Physics, Chinese Academy of Sciences, Shanghai, 200083, China, School of Information Science and Technology, ShanghaiTech University, Shanghai, 201210, China; Duan, H., Key Laboratory of Infrared System Detection and Imaging Technologies, Shanghai Institute of Technical Physics, Chinese Academy of Sciences, Shanghai, 200083, China; Pei, H., Key Laboratory of Infrared System Detection and Imaging Technologies, Shanghai Institute of Technical Physics, Chinese Academy of Sciences, Shanghai, 200083, China",,Article,Scopus
"Zhang S., Liu F., Li H., Zhou Q., Chen Q., Ma W., Luo J., Huang Y.","57433660100;12038767400;57212387150;55722136100;55805825300;57223431408;57225857031;58168883300;","Global Navigation Satellite System-Based Retrieval of Precipitable Water Vapor and Its Relationship with Rainfall and Drought in Qinghai, China",2023,"Atmosphere",,"10.3390/atmos14030517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151537012&doi=10.3390%2fatmos14030517&partnerID=40&md5=9f9fa47dd93fb7f2c4f50fc8ac078274","College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China; Big Data Center of Geospatial and Nature Resources of Qinghai Province, Xining, 810008, China; Qinghai Basic Surveying and Mapping Institute, Xining, 810001, China; Academy of Plateau Science and Sustainability, Xining, 810008, China","Zhang, S., College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China, Big Data Center of Geospatial and Nature Resources of Qinghai Province, Xining, 810008, China, Qinghai Basic Surveying and Mapping Institute, Xining, 810001, China; Liu, F., College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China, Academy of Plateau Science and Sustainability, Xining, 810008, China; Li, H., College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China, Big Data Center of Geospatial and Nature Resources of Qinghai Province, Xining, 810008, China; Zhou, Q., College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China, Academy of Plateau Science and Sustainability, Xining, 810008, China; Chen, Q., College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China, Academy of Plateau Science and Sustainability, Xining, 810008, China; Ma, W., College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China; Luo, J., College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China; Huang, Y., College of Geographical Sciences, Qinghai Normal University, Xining, 810008, China, Big Data Center of Geospatial and Nature Resources of Qinghai Province, Xining, 810008, China","Atmospheric humidity; Climate change; Communication satellites; Errors; Global positioning system; Navigation; Rain; Remote sensing; Search engines; Water vapor; Weather forecasting; Continuous operating reference station; Continuously operating reference stations; Extreme rainfall; Global Navigation Satellite Systems; High-precision; Mean absolute error; Precipitable water vapour; Reference stations; Root Mean Square; Troposphere delay; Drought; climate change; drought; extreme event; GNSS; precipitation intensity; radiosonde; spatiotemporal analysis; water vapor; China; Qinghai",Article,Scopus
"Chen Y., Zhang J., Li Z., Zhang H., Chen J., Yang W., Yu T., Liu W., Li Y.","57189251217;57371960600;58169986100;57936666200;57204077220;35326017500;56662641200;57202069393;56479412300;","Manufacturing Technology of Lightweight Fiber-Reinforced Composite Structures in Aerospace: Current Situation and toward Intellectualization",2023,"Aerospace",,"10.3390/aerospace10030206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151506910&doi=10.3390%2faerospace10030206&partnerID=40&md5=1141f8c71a1fc83bdeb6f94b3830db56","School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Composites Center, COMAC Shanghai Aircraft Manufacturing Co., Ltd, Shanghai, 201324, China","Chen, Y., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Zhang, J., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Li, Z., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Zhang, H., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Chen, J., Composites Center, COMAC Shanghai Aircraft Manufacturing Co., Ltd, Shanghai, 201324, China; Yang, W., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Yu, T., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Liu, W., Composites Center, COMAC Shanghai Aircraft Manufacturing Co., Ltd, Shanghai, 201324, China; Li, Y., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China",,Review,Scopus
"Xu Z., Lu P., Cai Y., Li J., Yang T., Wu Y., Wang R.","58167074800;56320345000;57201195282;58168583500;58167719400;57842984500;7405336715;","An Efficient Channel Imbalance Estimation Method Based on Subadditivity of Linear Normed Space of Sub-Band Spectrum for Azimuth Multichannel SAR",2023,"Remote Sensing",,"10.3390/rs15061561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151440840&doi=10.3390%2frs15061561&partnerID=40&md5=48667d858637cc0ecb293874c1f2a611","National Key Laboratory of Microwave Imaging Technology, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100190, China; School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China","Xu, Z., National Key Laboratory of Microwave Imaging Technology, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China; Lu, P., National Key Laboratory of Microwave Imaging Technology, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China; Cai, Y., National Key Laboratory of Microwave Imaging Technology, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China; Li, J., National Key Laboratory of Microwave Imaging Technology, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China; Yang, T., National Key Laboratory of Microwave Imaging Technology, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100190, China; Wu, Y., National Key Laboratory of Microwave Imaging Technology, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China; Wang, R., National Key Laboratory of Microwave Imaging Technology, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China","Computational efficiency; Global optimization; Radar imaging; Space-based radar; Azimuth multichannel synthetic aperture radar; Channel imbalance; Channel imbalance estimation; High resolution; High-resolution wide-swath; Minimizing the sum of sub-band norm; Multi channel; Spectra's; Subbands; Wide swath; Synthetic aperture radar",Article,Scopus
"Zou Q.","57298520700;","Detecting the Bronze Age Sites by Using CORONA Satellite Photography and UAV Photogrammetry: A Case Study from the Middle of Yangtze River, China",2023,"Land",,"10.3390/land12030685","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151414145&doi=10.3390%2fland12030685&partnerID=40&md5=1dcd80a48f2b39cdd77c4ece7013d179","School of History, Wuhan University, Wuhan, 430072, China; Institute of Yangtze River Civilization and Archaeology, Wuhan University, Wuhan, 430072, China; Intellectual Computing Laboratory for Cultural Heritage, Wuhan University, Wuhan, 430072, China","Zou, Q., School of History, Wuhan University, Wuhan, 430072, China, Institute of Yangtze River Civilization and Archaeology, Wuhan University, Wuhan, 430072, China, Intellectual Computing Laboratory for Cultural Heritage, Wuhan University, Wuhan, 430072, China",,Article,Scopus
"Li J., Bai H., Feng Z.","57724975300;57265899800;57202450441;","Advances in the Modification of Silane-Based Sol-Gel Coating to Improve the Corrosion Resistance of Magnesium Alloys",2023,"Molecules",2,"10.3390/molecules28062563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151112058&doi=10.3390%2fmolecules28062563&partnerID=40&md5=0afe6674f0d50fcb72c897dd735e6d37","School of Chemical Engineering and Technology, Sun Yat-sen University, Zhuhai, 519082, China; Department of Chemical and Materials Engineering, University of Kentucky, Lexington, KY  40506, United States","Li, J., School of Chemical Engineering and Technology, Sun Yat-sen University, Zhuhai, 519082, China; Bai, H., Department of Chemical and Materials Engineering, University of Kentucky, Lexington, KY  40506, United States; Feng, Z., School of Chemical Engineering and Technology, Sun Yat-sen University, Zhuhai, 519082, China",,Review,Scopus
"Ding X., Shen H., Sun J., Bai L., Peng L., Lü H.","57932852300;58023337700;58158885400;58076759800;58159073700;56131337100;","Effects of an eastward shift in the Agulhas retroflection region on chlorophyll-a bloom on its south flank",2023,"PLoS ONE",,"10.1371/journal.pone.0281766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150975864&doi=10.1371%2fjournal.pone.0281766&partnerID=40&md5=a2042e28ec8802823ad55329e989094e","Jiangsu Key Laboratory of Marine Bioresources and Environment, Jiangsu Key Laboratory of Marine Biotechnology, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China; Lianyungang Meteorological Bureau, Jiangsu Province, Lianyungang, China; School of Marine Technology and Geomatics, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China; Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China","Ding, X., Jiangsu Key Laboratory of Marine Bioresources and Environment, Jiangsu Key Laboratory of Marine Biotechnology, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China, Lianyungang Meteorological Bureau, Jiangsu Province, Lianyungang, China, School of Marine Technology and Geomatics, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China; Shen, H., School of Marine Technology and Geomatics, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China; Sun, J., School of Marine Technology and Geomatics, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China; Bai, L., School of Marine Technology and Geomatics, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China; Peng, L., School of Marine Technology and Geomatics, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China; Lü, H., Jiangsu Key Laboratory of Marine Bioresources and Environment, Jiangsu Key Laboratory of Marine Biotechnology, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China, School of Marine Technology and Geomatics, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China, Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean University, Jiangsu Province, Lianyungang, China","chlorophyll; chlorophyll a; nitric acid derivative; environmental monitoring; procedures; remote sensing; season; Chlorophyll; Chlorophyll A; Environmental Monitoring; Nitrates; Remote Sensing Technology; Seasons",Article,Scopus
"Tao X., Li S., Wu Z., Ji M., Mao P., Xiong S.","58157814800;55741012300;58157472700;58157472800;58157300600;58157989600;","Modeling and empirical orthogonal function analysis of plasmaspheric electron content based on MetOp satellites",2023,"Astrophysics and Space Science",,"10.1007/s10509-023-04177-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150872364&doi=10.1007%2fs10509-023-04177-3&partnerID=40&md5=c5c42f9fd299da294124040b9054f968","School of Land Science and Technology, China University of Geosciences (Beijing), 29 Xueyuan Road, Haidian District, Beijing, 100083, China","Tao, X., School of Land Science and Technology, China University of Geosciences (Beijing), 29 Xueyuan Road, Haidian District, Beijing, 100083, China; Li, S., School of Land Science and Technology, China University of Geosciences (Beijing), 29 Xueyuan Road, Haidian District, Beijing, 100083, China; Wu, Z., School of Land Science and Technology, China University of Geosciences (Beijing), 29 Xueyuan Road, Haidian District, Beijing, 100083, China; Ji, M., School of Land Science and Technology, China University of Geosciences (Beijing), 29 Xueyuan Road, Haidian District, Beijing, 100083, China; Mao, P., School of Land Science and Technology, China University of Geosciences (Beijing), 29 Xueyuan Road, Haidian District, Beijing, 100083, China; Xiong, S., School of Land Science and Technology, China University of Geosciences (Beijing), 29 Xueyuan Road, Haidian District, Beijing, 100083, China",,Article,Scopus
"Shi Q., Wang D., Chen W., Yu J., Zhou W., Zou J., Liu G.","57202018938;58157839600;57648023500;35231877600;58157670100;58139044700;58139461900;","Research on Spaceborne Target Detection Based on Yolov5 and Image Compression",2023,"Future Internet",,"10.3390/fi15030114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150863702&doi=10.3390%2ffi15030114&partnerID=40&md5=ee45f3257f3f962861eea64bcb24ba05","Innovation Academy for Microsatellites of Chinese Academy of Sciences, Shanghai, 201304, China; University of Chinese Academy of Sciences, Beijing, 100039, China; China Satellite Network Group Co., Ltd, Beijing, 100000, China; School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, 210094, China","Shi, Q., Innovation Academy for Microsatellites of Chinese Academy of Sciences, Shanghai, 201304, China, University of Chinese Academy of Sciences, Beijing, 100039, China; Wang, D., China Satellite Network Group Co., Ltd, Beijing, 100000, China; Chen, W., Innovation Academy for Microsatellites of Chinese Academy of Sciences, Shanghai, 201304, China, University of Chinese Academy of Sciences, Beijing, 100039, China; Yu, J., Innovation Academy for Microsatellites of Chinese Academy of Sciences, Shanghai, 201304, China, University of Chinese Academy of Sciences, Beijing, 100039, China; Zhou, W., School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, 210094, China; Zou, J., School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, 210094, China; Liu, G., School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, 210094, China","Aircraft detection; Communication satellites; Data communication systems; Data transfer; Digital storage; Image enhancement; Imaging systems; Object detection; Optical remote sensing; Transmissions; Compression technologies; High resolution; High-fidelity; Images compression; Remote-sensing; Satellite images; Space science; Space-borne; Targets detection; Yolov5; Image compression",Article,Scopus
"Cheng W.-C., Chen J.-M., Deng L., Huang H.-S., Zhang J.-G., Zhang T.-L., Li Z.-M.","58145061700;57234897800;58146066700;55503555900;57211913183;58145663700;56465281900;","High-efficiency catalysis of nitrogen-rich metal-organic frameworks and their derivatives for the thermal decomposition of ammonium perchlorate",2023,"Energetic Materials Frontiers",,"10.1016/j.enmf.2023.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150288816&doi=10.1016%2fj.enmf.2023.03.001&partnerID=40&md5=8673443487566747b081639609287ea7","State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, Beijing, 100081, China; Chongqing Key Laboratory of Inorganic Special Functional Materials, College of Chemistry and Chemical Engineering, Yangtze Normal University, Chongqing, 408100, China","Cheng, W.-C., State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, Beijing, 100081, China; Chen, J.-M., State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, Beijing, 100081, China; Deng, L., State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, Beijing, 100081, China; Huang, H.-S., Chongqing Key Laboratory of Inorganic Special Functional Materials, College of Chemistry and Chemical Engineering, Yangtze Normal University, Chongqing, 408100, China; Zhang, J.-G., State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, Beijing, 100081, China; Zhang, T.-L., State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, Beijing, 100081, China; Li, Z.-M., State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, Beijing, 100081, China","Activation energy; Composite propellants; Inorganic compounds; Nitrogen; Organometallics; Single crystals; Solid propellants; Thermolysis; Ammonium perchlorates; Combustion performance; Energetic metal-organic framework; Higher efficiency; Metalorganic frameworks (MOFs); Nitrogen content; Nitrogen-rich; Science and Technology; Thermal decomposition behavior; ]+ catalyst; Catalyst activity",Article,Scopus
"Zhao X., Chen H.-B., Lu L.-H., Li Y.-Q.","58145398600;36991559300;7403963041;7502084929;","Electrically tunable magnetic sensor for satellite-free global positioning",2023,"AIP Advances",,"10.1063/5.0131636","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150277281&doi=10.1063%2f5.0131636&partnerID=40&md5=6b1273f86da580f1ccdd047da8c06e7f","School of Physics, Zhejiang University, Hangzhou, 310027, China; School of Information Science and Engineering, NingboTech University, Ningbo, 315100, China; Chern Institute of Mathematics, Nankai University, Weijin Road 94, Tianjin, 300071, China; Collaborative Innovation Center of Advanced Microstructure, Nanjing University, Nanjing, 210008, China","Zhao, X., School of Physics, Zhejiang University, Hangzhou, 310027, China; Chen, H.-B., School of Information Science and Engineering, NingboTech University, Ningbo, 315100, China; Lu, L.-H., School of Physics, Zhejiang University, Hangzhou, 310027, China; Li, Y.-Q., School of Physics, Zhejiang University, Hangzhou, 310027, China, Chern Institute of Mathematics, Nankai University, Weijin Road 94, Tianjin, 300071, China, Collaborative Innovation Center of Advanced Microstructure, Nanjing University, Nanjing, 210008, China","Geomagnetism; Magnetic field measurement; Magnetic fields; Magnetometers; Satellites; Sulfur compounds; Electrically tunable; Geomagnetic fields; Global Navigation Satellite Systems; Global positioning; Human activities; Navigation and positioning; Navigation devices; Navigation technology; Positioning technologies; System signals; Global positioning system",Article,Scopus
"Pan J., Li D., Fan X., Cheng J., Jin S., Chen P., Lin H., Li Y.","57729365500;57204095920;57202431696;57298905900;57211467824;57299265400;56525556500;57208338446;","Aberrant DNA Methylation Patterns of Deleted in Liver Cancer 1 Isoforms in Hepatocellular Carcinoma",2023,"DNA and Cell Biology",,"10.1089/dna.2022.0384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150264942&doi=10.1089%2fdna.2022.0384&partnerID=40&md5=f4c4acaba61f804aed1f1d5f91db273f","Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China; State Key Laboratory of Modern Optical Instrumentations, Centre for Optical and Electromagnetic Research, College of Optical Science and Engineering, International Research Center for Advanced Photonics, Zhejiang University, Hangzhou, China; College of Biomedical Engineering and Instrument Science, Zhejiang University, Hangzhou, China; Zhejiang Engineering Research Center of Cognitive Healthcare, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, China","Pan, J., Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China; Li, D., Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China; Fan, X., Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China, State Key Laboratory of Modern Optical Instrumentations, Centre for Optical and Electromagnetic Research, College of Optical Science and Engineering, International Research Center for Advanced Photonics, Zhejiang University, Hangzhou, China; Cheng, J., Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China; Jin, S., Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China; Chen, P., Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China; Lin, H., Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China, College of Biomedical Engineering and Instrument Science, Zhejiang University, Hangzhou, China, Zhejiang Engineering Research Center of Cognitive Healthcare, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, China; Li, Y., Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310020, China","DLC1 protein, human; guanosine triphosphatase activating protein; isoprotein; tumor suppressor protein; DNA methylation; gene expression regulation; genetics; human; liver cell carcinoma; liver tumor; metabolism; pathology; Carcinoma, Hepatocellular; DNA Methylation; Gene Expression Regulation, Neoplastic; GTPase-Activating Proteins; Humans; Liver Neoplasms; Protein Isoforms; Tumor Suppressor Proteins",Article,Scopus
"Chen X., Luo R., Liu T., Yuan H., Wu H.","57247049300;56382704900;57226416281;7402446552;55703634200;","Satellite Navigation Signal Authentication in GNSS: A Survey on Technology Evolution, Status, and Perspective for BDS",2023,"Remote Sensing",,"10.3390/rs15051462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150229994&doi=10.3390%2frs15051462&partnerID=40&md5=569373fe4d794cd973699d53cb53f099","Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100094, China; School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China","Chen, X., Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100094, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China; Luo, R., Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100094, China; Liu, T., Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100094, China; Yuan, H., Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100094, China; Wu, H., Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100094, China","Communication satellites; Global positioning system; Radio navigation; Antispoofing; Authentication services; Beidou navigation satellite systems; Credible navigation; Global Navigation Satellite Systems; Satellite navigation; Satellite navigation signals; Signal authentication; Signal structures; Technology evolution; Authentication",Review,Scopus
"Jiao Y., Wang D., Yao X., Wang S., Chi T., Meng Y.","58144083100;57205325044;56510788700;55714365200;58143773600;58143469400;","Forest Emissions Reduction Assessment Using Optical Satellite Imagery and Space LiDAR Fusion for Carbon Stock Estimation",2023,"Remote Sensing",1,"10.3390/rs15051410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150222878&doi=10.3390%2frs15051410&partnerID=40&md5=e76384c7ed8a67e69247044d4af4c09f","Aerospace Information Research Institute, Chinese Academy of Sciences, No. 9 Dengzhuang South Road, Haidian District, Beijing, 100094, China; Fujian Space Carbon Co., Ltd, No. 19 Tianxiang Road, Yanping District, Nanping, 353000, China","Jiao, Y., Aerospace Information Research Institute, Chinese Academy of Sciences, No. 9 Dengzhuang South Road, Haidian District, Beijing, 100094, China, Fujian Space Carbon Co., Ltd, No. 19 Tianxiang Road, Yanping District, Nanping, 353000, China; Wang, D., Aerospace Information Research Institute, Chinese Academy of Sciences, No. 9 Dengzhuang South Road, Haidian District, Beijing, 100094, China, Fujian Space Carbon Co., Ltd, No. 19 Tianxiang Road, Yanping District, Nanping, 353000, China; Yao, X., Aerospace Information Research Institute, Chinese Academy of Sciences, No. 9 Dengzhuang South Road, Haidian District, Beijing, 100094, China; Wang, S., Aerospace Information Research Institute, Chinese Academy of Sciences, No. 9 Dengzhuang South Road, Haidian District, Beijing, 100094, China; Chi, T., Aerospace Information Research Institute, Chinese Academy of Sciences, No. 9 Dengzhuang South Road, Haidian District, Beijing, 100094, China; Meng, Y., Aerospace Information Research Institute, Chinese Academy of Sciences, No. 9 Dengzhuang South Road, Haidian District, Beijing, 100094, China","Carbon; Emission control; Forestry; Image enhancement; Optical radar; Satellite imagery; Carbon accounting; Carbon stocks; Emission reduction; Forest biomass; Forest carbons; Forest emission; GEDI; LiDAR; Optical satellite imagery; Stock estimation; Data fusion",Article,Scopus
